t,b,g,r,helper,counter
62.062,172,212,210,"210,212,172",8
62.14541666666666,172,212,210,"210,212,172",9
62.22883333333333,172,212,210,"210,212,172",10
62.31225,172,212,210,"210,212,172",11
62.39566666666666,172,212,210,"210,212,172",12
62.47908333333333,172,212,210,"210,212,172",13
62.56249999999999,172,212,210,"210,212,172",14
62.645916666666665,172,212,210,"210,212,172",15
62.72933333333333,172,212,210,"210,212,172",16
62.812749999999994,172,212,210,"210,212,172",17
62.89616666666666,172,212,210,"210,212,172",18
62.97958333333333,172,212,210,"210,212,172",19
63.062999999999995,172,212,210,"210,212,172",20
63.14641666666666,172,212,210,"210,212,172",21
63.22983333333333,172,212,210,"210,212,172",22
63.31325,172,212,210,"210,212,172",23
63.39666666666666,172,212,210,"210,212,172",24
63.480083333333326,172,212,210,"210,212,172",25
63.5635,172,212,210,"210,212,172",26
63.64691666666666,172,212,210,"210,212,172",27
63.73033333333333,172,212,210,"210,212,172",28
63.81375,172,212,210,"210,212,172",29
63.897166666666664,172,212,210,"210,212,172",30
63.98058333333333,172,212,210,"210,212,172",31
64.064,172,212,210,"210,212,172",32
64.14741666666666,172,212,210,"210,212,172",33
64.23083333333332,172,212,210,"210,212,172",34
64.31425,172,212,210,"210,212,172",35
64.39766666666667,172,212,210,"210,212,172",36
64.48108333333333,172,212,210,"210,212,172",37
64.5645,172,212,210,"210,212,172",38
64.64791666666666,172,212,210,"210,212,172",39
64.73133333333332,172,212,210,"210,212,172",40
64.81474999999999,172,212,210,"210,212,172",41
64.89816666666667,172,212,210,"210,212,172",42
64.98158333333333,172,212,210,"210,212,172",43
65.065,172,212,210,"210,212,172",44
65.14841666666666,172,212,210,"210,212,172",45
65.23183333333333,139,172,173,"173,172,139",1
65.31524999999999,139,172,173,"173,172,139",2
65.39866666666666,139,172,173,"173,172,139",3
65.48208333333334,139,172,173,"173,172,139",4
65.5655,172,212,210,"210,212,172",1
65.64891666666666,172,212,210,"210,212,172",2
65.73233333333333,172,212,210,"210,212,172",3
65.81575,172,212,210,"210,212,172",4
65.89916666666666,172,212,210,"210,212,172",5
65.98258333333332,185,234,235,"235,234,185",1
66.06599999999999,185,234,235,"235,234,185",2
66.14941666666667,185,234,235,"235,234,185",3
66.23283333333333,185,234,235,"235,234,185",4
66.31625,185,234,235,"235,234,185",5
66.39966666666666,185,234,235,"235,234,185",6
66.48308333333333,185,234,235,"235,234,185",7
66.56649999999999,185,234,235,"235,234,185",8
66.64991666666666,185,234,235,"235,234,185",9
66.73333333333333,185,234,235,"235,234,185",10
66.81675,185,234,235,"235,234,185",11
66.90016666666666,45,59,62,"62,59,45",1
66.98358333333333,190,223,206,"206,223,190",1
67.067,190,223,206,"206,223,190",2
67.15041666666666,190,223,206,"206,223,190",3
67.23383333333332,190,223,206,"206,223,190",4
67.31725,190,223,206,"206,223,190",5
67.40066666666667,190,223,206,"206,223,190",6
67.48408333333333,190,223,206,"206,223,190",7
67.5675,190,223,206,"206,223,190",8
67.65091666666666,190,223,206,"206,223,190",9
67.73433333333332,190,223,206,"206,223,190",10
67.81774999999999,190,223,206,"206,223,190",11
67.90116666666667,190,223,206,"206,223,190",12
67.98458333333333,190,223,206,"206,223,190",13
68.068,190,223,206,"206,223,190",14
68.15141666666666,190,223,206,"206,223,190",15
68.23483333333333,190,223,206,"206,223,190",16
68.31824999999999,190,223,206,"206,223,190",17
68.40166666666666,190,223,206,"206,223,190",18
68.48508333333334,190,223,206,"206,223,190",19
68.5685,190,223,206,"206,223,190",20
68.65191666666666,180,199,156,"156,199,180",1
68.73533333333333,138,153,123,"123,153,138",1
68.81875,94,104,85,"85,104,94",1
68.90216666666666,45,59,62,"62,59,45",1
68.98558333333332,21,24,30,"30,24,21",1
69.06899999999999,0,0,0,"0,0,0",1
69.15241666666667,0,0,0,"0,0,0",2
69.23583333333333,0,0,0,"0,0,0",3
69.31925,0,0,0,"0,0,0",4
69.40266666666666,0,0,0,"0,0,0",5
69.48608333333333,0,0,0,"0,0,0",6
69.56949999999999,0,0,0,"0,0,0",7
69.65291666666666,0,0,0,"0,0,0",8
69.73633333333333,0,0,0,"0,0,0",9
69.81975,0,0,0,"0,0,0",10
69.90316666666666,0,0,0,"0,0,0",11
69.98658333333333,0,0,0,"0,0,0",12
70.07,0,0,0,"0,0,0",13
70.15341666666666,0,0,0,"0,0,0",14
70.23683333333332,0,0,0,"0,0,0",15
70.32025,0,0,0,"0,0,0",16
70.40366666666667,0,0,0,"0,0,0",17
70.48708333333333,0,0,0,"0,0,0",18
70.5705,0,0,0,"0,0,0",19
70.65391666666666,13,13,11,"11,13,13",1
70.73733333333332,40,26,13,"13,26,40",1
70.82074999999999,40,26,13,"13,26,40",2
70.90416666666667,60,43,9,"9,43,60",1
70.98758333333333,60,43,9,"9,43,60",2
71.071,60,43,9,"9,43,60",3
71.15441666666666,60,43,9,"9,43,60",4
71.23783333333333,60,43,9,"9,43,60",5
71.32124999999999,40,26,13,"13,26,40",1
71.40466666666666,40,26,13,"13,26,40",2
71.48808333333332,13,13,11,"11,13,13",1
71.5715,40,26,13,"13,26,40",1
71.65491666666667,60,43,9,"9,43,60",1
71.73833333333333,40,26,13,"13,26,40",1
71.82175,40,26,13,"13,26,40",2
71.90516666666666,60,43,9,"9,43,60",1
71.98858333333332,60,43,9,"9,43,60",2
72.07199999999999,60,43,9,"9,43,60",3
72.15541666666667,60,43,9,"9,43,60",4
72.23883333333333,60,43,9,"9,43,60",5
72.32225,60,43,9,"9,43,60",6
72.40566666666666,60,43,9,"9,43,60",7
72.48908333333333,60,43,9,"9,43,60",8
72.57249999999999,60,43,9,"9,43,60",9
72.65591666666666,60,43,9,"9,43,60",10
72.73933333333333,13,13,11,"11,13,13",1
72.82275,13,13,11,"11,13,13",2
72.90616666666666,95,45,7,"7,45,95",1
72.98958333333333,95,45,7,"7,45,95",2
73.073,13,13,11,"11,13,13",1
73.15641666666666,13,13,11,"11,13,13",2
73.23983333333332,60,43,9,"9,43,60",1
73.32325,60,43,9,"9,43,60",2
73.40666666666667,60,43,9,"9,43,60",3
73.49008333333333,60,43,9,"9,43,60",4
73.5735,60,43,9,"9,43,60",5
73.65691666666666,60,43,9,"9,43,60",6
